mode,gap_seconds,n_samples,gap_mae,gap_rmse,full_mae,full_rmse,psnr
base,0.5,42,0.29456072371630443,0.6613242839063916,0.005446209228553232,0.08996225068611759,21.369846389407204
base,0.75,69,0.33329132685194846,0.7832885350006215,0.008305966614516101,0.12369243444307991,18.403234924095266
base,1.0,111,0.4129797647128234,0.9115255544851492,0.014607346121658076,0.17137732215829798,15.427141954232981
base,1.5,134,0.4169453930721354,0.955691011539146,0.0199451594015778,0.20899178588123463,13.73312172249182
base,1.75,82,0.38787449932679896,0.8985497471762867,0.022601478528685687,0.2168912511409783,13.476004635415427
base,2.0,42,0.3971031244312014,0.9129966185206458,0.025632934999607858,0.23196988233498164,13.11399014790853
dynamic_no_harm,0.5,42,0.46063135457890375,0.9490391640436082,0.0085252187037397,0.1291820625109332,18.00008247012184
dynamic_no_harm,0.75,69,0.5086423342210659,1.0376376051833665,0.012625534607070511,0.16356608379578244,15.905172071595123
dynamic_no_harm,1.0,111,0.5559844251151558,1.1009060659924068,0.019646161244259223,0.206962760772791,13.753572532722542
dynamic_no_harm,1.5,134,0.5181084815690766,1.0655022779507424,0.02480081912936337,0.23308798726370086,12.771790810485385
dynamic_no_harm,1.75,82,0.5092499110756851,1.029680667127051,0.029664782591436695,0.2485122537104095,12.281603382854927
dynamic_no_harm,2.0,42,0.5125560689540136,1.0320254791350592,0.033086855141889485,0.26218215624491376,11.859831582932244
dynamic_with_harm,0.5,42,0.2955033803979556,0.676677738626798,0.005459866220397609,0.09202166460454464,21.1031676701137
dynamic_with_harm,0.75,69,0.31242607825476193,0.7256306215472843,0.007783634527383939,0.11458414091148238,19.08924871251203
dynamic_with_harm,1.0,111,0.36303070080172906,0.7941242075181222,0.012832404558991527,0.14926064806478517,16.60814875525397
dynamic_with_harm,1.5,134,0.35319499193287607,0.7991021902703527,0.01689715323441509,0.17475609409052933,15.284649137240738
dynamic_with_harm,1.75,82,0.33208777173990156,0.7572226815107392,0.019344517506840752,0.1827522927849758,14.929069612084366
dynamic_with_harm,2.0,42,0.35050015435332343,0.7789471050103506,0.02262301915990455,0.19789922166438328,14.425634906405495
dynamic_fullgap_only,0.5,42,0.2945457019266628,0.6756926704020727,0.005442749875198517,0.09189020150474139,21.10343292781285
dynamic_fullgap_only,0.75,69,0.3125752022732859,0.7261703381503838,0.007787489038689629,0.11467101176579793,19.08347599748252
dynamic_fullgap_only,1.0,111,0.36423771096779417,0.7963679234186808,0.01287640538905655,0.14969268172710865,16.584853034835678
dynamic_fullgap_only,1.5,134,0.3598387911915779,0.8191235617025575,0.017215249469197953,0.1791373430125749,15.071856114401745
dynamic_fullgap_only,1.75,82,0.34003177448743727,0.7794787909199552,0.019806363472215285,0.1881146222898146,14.681578961814322
dynamic_fullgap_only,2.0,42,0.35622687070142656,0.7987089313211895,0.022993579506874084,0.2029262568269457,14.219982010977608
dynamic_boundary_aware,0.5,42,0.2947659630860601,0.6759076927389417,0.005446651883955512,0.09191859371605374,21.105166889372327
dynamic_boundary_aware,0.75,69,0.3123930404367654,0.7253359664177549,0.007782850616975971,0.11453753472238347,19.092244714930438
dynamic_boundary_aware,1.0,111,0.36340109695185413,0.795142882042103,0.012845970060978387,0.14945501263614172,16.59734329876599
dynamic_boundary_aware,1.5,134,0.35485968027097076,0.8042141003395195,0.016976721355441347,0.1758739398375376,15.23021973424883
dynamic_boundary_aware,1.75,82,0.33326458803764203,0.761215477818396,0.01941312270284426,0.1837149531376071,14.883191015662216
dynamic_boundary_aware,2.0,42,0.35093117966538384,0.7817056973775228,0.02265142232534431,0.19860194623470306,14.393880707877022
