mode,gap_seconds,n_samples,gap_mae,gap_rmse,full_mae,full_rmse,psnr
base,0.5,42,0.29398669444379355,0.6603852496260688,0.0054363942694007645,0.08984041249468214,21.369473820640927
base,0.75,69,0.33186731962622074,0.7783383476561394,0.008271155919393768,0.12291449060042699,18.46506627400716
base,1.0,111,0.41102285508636954,0.9072902025403203,0.01453281688159919,0.17054875906523284,15.47169814238677
base,1.5,134,0.41907130771163686,0.9590577394215029,0.02004554055964769,0.20971800464747556,13.712859886795727
base,1.75,82,0.3858247699170578,0.8937968444533464,0.022480280501995145,0.21573797322627974,13.51079600031783
base,2.0,42,0.39919068274043856,0.9153578338168916,0.025767755872082142,0.23256910414922805,13.09282296044486
selective_mix_const,0.5,42,0.295064074297746,0.6772729797022683,0.005452226475989889,0.09210433473899252,21.09380395071847
selective_mix_const,0.75,69,0.31322202626345813,0.728289944106254,0.007803897035942561,0.11500700530798538,19.05539059293443
selective_mix_const,1.0,111,0.3633316900279071,0.7943305045634776,0.012842937498479276,0.14929880604550644,16.6063083614315
selective_mix_const,1.5,134,0.3532318508447106,0.7994316300349449,0.016898931004107,0.17482857934352178,15.282444655005612
selective_mix_const,1.75,82,0.3317571106116946,0.7562322794664197,0.019325431197790836,0.18251388129301188,14.9402295321953
selective_mix_const,2.0,42,0.35067182850270046,0.7791377007961273,0.022634024199630533,0.1979472537835439,14.423920994713193
selective_mix_late_decay,0.5,42,0.2759606359260423,0.6319674132835298,0.0050985146857177215,0.0859406062712272,21.71098014286586
selective_mix_late_decay,0.75,69,0.29785446163968765,0.6868104882862257,0.007422301486350488,0.10845860536547675,19.591440919516742
selective_mix_late_decay,1.0,111,0.352199403418077,0.763585769915366,0.012447158252266614,0.14351636949960175,16.95140198544339
selective_mix_late_decay,1.5,134,0.34947503435967575,0.7870320833441037,0.016719602243001782,0.17211663495026416,15.418570354803284
selective_mix_late_decay,1.75,82,0.3282689550300924,0.7454925797334532,0.019122375425223898,0.17992535533338058,15.06297649988314
selective_mix_late_decay,2.0,42,0.34724776517777217,0.7668098920867557,0.02241374867125636,0.19481573786054338,14.555800415220714
selective_mix_no_harm,0.5,42,0.45050049892493654,0.9401764841306777,0.008339457546493836,0.1279791183769703,18.083900542486283
selective_mix_no_harm,0.75,69,0.5107715106096821,1.0349679390589397,0.012679341444880634,0.16314088887926462,15.926148635753687
selective_mix_no_harm,1.0,111,0.5674210276689615,1.1012018918991089,0.020051563494243065,0.2070036849997065,13.761543840975374
selective_mix_no_harm,1.5,134,0.5197203650848189,1.0595358009658642,0.024872833049731022,0.23177057660337705,12.81478787180203
selective_mix_no_harm,1.75,82,0.5180495383172501,1.0401956809730064,0.030169912227770178,0.2510243152699819,12.19648833391143
selective_mix_no_harm,2.0,42,0.5137317876021067,1.0327431871777488,0.03316294189010348,0.26236635801338015,11.847399325597854
selective_mix_fullgap_only,0.5,42,0.29490374206077485,0.6768035810618174,0.005449257763324394,0.09204052681369441,21.100239390418643
selective_mix_fullgap_only,0.75,69,0.3129365808074025,0.7277500396189482,0.007796563673764467,0.11492099051458249,19.061139535212863
selective_mix_fullgap_only,1.0,111,0.36445306684519796,0.7970345739845757,0.012883668345911009,0.1498116299107268,16.578821646200645
selective_mix_fullgap_only,1.5,134,0.36088642778236474,0.8225614081567793,0.01726527715713453,0.17988872138866738,15.039246473739396
selective_mix_fullgap_only,1.75,82,0.3398109049331851,0.7796902423951684,0.019793670431415483,0.18816540635577061,14.682259222356285
selective_mix_fullgap_only,2.0,42,0.3578859070936839,0.8019966028985523,0.02309932182764723,0.20375697634049825,14.19110141481672
selective_mix_boundary_aware,0.5,42,0.29505652011859984,0.6772367727188837,0.005452074188118179,0.09209935615460078,21.094546181815012
selective_mix_boundary_aware,0.75,69,0.3132048473841902,0.7281434320021367,0.007803462027315644,0.11498381348623746,19.056811457094938
selective_mix_boundary_aware,1.0,111,0.36367768290880564,0.7954175332645038,0.012855005635133197,0.14949926384934434,16.59418522774636
selective_mix_boundary_aware,1.5,134,0.35475450865368346,0.8041405170711119,0.016971917148790698,0.17585932841496682,15.23213042074175
selective_mix_boundary_aware,1.75,82,0.3333877997427452,0.7612520369087777,0.019420344643749116,0.18372380215583778,14.883891466187269
selective_mix_boundary_aware,2.0,42,0.3520507940224239,0.783718962044943,0.02272290749741452,0.19911142580565952,14.376305625552224
