step,gap_score,left_score,right_score,energy,z_t_norm,z0_hat_norm
999,-0.11406716704368591,-0.06731867045164108,-0.07348887622356415,-0.022813433781266212,181.4003448486328,693.0762329101562
998,-0.2544010281562805,-0.178266242146492,-0.19054420292377472,-0.0509769469499588,174.25169372558594,681.8031005859375
997,-0.29241153597831726,-0.19423383474349976,-0.20699095726013184,-0.058686528354883194,171.47305297851562,666.8270874023438
996,-0.298878937959671,-0.18535664677619934,-0.20514793694019318,-0.06006535515189171,170.2142333984375,650.4630126953125
995,-0.29739031195640564,-0.17388403415679932,-0.2010282278060913,-0.0598403699696064,169.5615997314453,632.3087158203125
994,-0.2896162271499634,-0.15510323643684387,-0.1936665028333664,-0.058331578969955444,169.1950225830078,613.2581787109375
993,-0.2580772638320923,-0.12138456106185913,-0.16973777115345,-0.052004843950271606,168.98269653320312,594.8499145507812
992,-0.184205561876297,-0.06144658848643303,-0.12193624675273895,-0.03709695488214493,168.86216735839844,576.8170166015625
991,-0.07898487150669098,0.014018448069691658,-0.059402842074632645,-0.015815846621990204,168.80078125,559.3804931640625
990,0.04422516003251076,0.09672226756811142,0.01100898813456297,0.009153567254543304,168.78038024902344,543.5997314453125
989,0.1671268343925476,0.175724595785141,0.07885868847370148,0.03411013260483742,168.78993225097656,528.588623046875
988,0.27831414341926575,0.24498458206653595,0.13863161206245422,0.056739527732133865,168.82252502441406,513.8619384765625
987,0.37623488903045654,0.3060384690761566,0.19475430250167847,0.07674932479858398,168.87396240234375,500.6715087890625
986,0.45347779989242554,0.35878491401672363,0.24478819966316223,0.09265705198049545,168.9417266845703,489.8778991699219
985,0.5069764256477356,0.39953362941741943,0.28486397862434387,0.10381079465150833,169.02378845214844,480.1590576171875
984,0.5408433079719543,0.4287676513195038,0.31264322996139526,0.11099742352962494,169.11827087402344,469.641357421875
983,0.5621484518051147,0.4506293535232544,0.33301079273223877,0.11564933508634567,169.22366333007812,458.6300964355469
982,0.5758979320526123,0.46731168031692505,0.34960848093032837,0.11878019571304321,169.3392333984375,448.8962707519531
981,0.5837410092353821,0.48078852891921997,0.3622455596923828,0.12072055041790009,169.4650421142578,441.8076477050781
980,0.587643563747406,0.4914613962173462,0.37096935510635376,0.12185446918010712,169.601318359375,437.87493896484375
979,0.5892740488052368,0.4995555281639099,0.377179890871048,0.12251625210046768,169.74783325195312,435.4909973144531
978,0.5900132656097412,0.5057849287986755,0.38245588541030884,0.12299080938100815,169.9033966064453,431.7503356933594
977,0.5905638337135315,0.5109896063804626,0.3878172039985657,0.12342910468578339,170.0663299560547,425.12158203125
976,0.5909417867660522,0.51528400182724,0.39296823740005493,0.12383158504962921,170.23532104492188,416.3438415527344
975,0.5905077457427979,0.5186643600463867,0.3971784710884094,0.12406516820192337,170.40966796875,407.6712646484375
974,0.5893509387969971,0.5216881036758423,0.4000527262687683,0.12414711713790894,170.58929443359375,401.2543029785156
973,0.5877803564071655,0.5244389772415161,0.40170881152153015,0.12413813173770905,170.7742462158203,397.8061828613281
972,0.5860475301742554,0.5265545845031738,0.40234535932540894,0.12408385425806046,170.96449279785156,396.9171142578125
971,0.5841856002807617,0.5281840562820435,0.4027709364891052,0.12399955838918686,171.15969848632812,397.30029296875
970,0.5822795629501343,0.5294244289398193,0.4035249352455139,0.12390836328268051,171.359130859375,396.7271423339844
969,0.5805374383926392,0.5302429795265198,0.4047815203666687,0.12385231256484985,171.56192016601562,393.6194152832031
968,0.5791559219360352,0.5308537483215332,0.4062298536300659,0.12386830151081085,171.76730346679688,389.1725158691406
967,0.5781769752502441,0.531572163105011,0.4075128436088562,0.12396368384361267,171.97486877441406,385.46600341796875
966,0.5772759318351746,0.532329261302948,0.4085354804992676,0.12407321482896805,172.18434143066406,382.7676086425781
965,0.5763072371482849,0.5331921577453613,0.40930211544036865,0.12416940182447433,172.39566040039062,380.84088134765625
964,0.5753210783004761,0.5337672829627991,0.4094720780849457,0.12425152212381363,172.6090545654297,380.61480712890625
963,0.5742840766906738,0.5337828397750854,0.4090811014175415,0.12430867552757263,172.8243408203125,381.65032958984375
962,0.5733423829078674,0.534112274646759,0.4089999496936798,0.12439354509115219,173.0400390625,381.0464172363281
961,0.5726964473724365,0.5349335074424744,0.4097442626953125,0.12455593049526215,173.25453186035156,378.0005187988281
960,0.5723291635513306,0.535922646522522,0.41055017709732056,0.12477695941925049,173.46730041503906,374.6971740722656
959,0.5720391869544983,0.5366511344909668,0.41094574332237244,0.12500368058681488,173.67860412597656,373.04083251953125
958,0.5717766284942627,0.5371886491775513,0.41124969720840454,0.1252320408821106,173.8886260986328,372.5054016113281
