mode,gap_seconds,n_samples,gap_mae,gap_rmse,full_mae,full_rmse,psnr
base,0.5,13,0.3494984587797752,0.733196150798064,0.0073327217385387765,0.10597614442499784,20.717954048743614
base,1.0,36,0.4416983214517434,0.9447137614091238,0.016554722213186324,0.18237529695034027,15.419400427076551
base,2.0,49,0.5057253156389508,1.0829120302686885,0.0339699548916245,0.2799027297569781,11.347144049041125
base,3.0,55,0.5291470132090829,1.1338157339529558,0.05304756604812362,0.3586260703476993,9.091956866871227
base,4.0,59,0.48887119858951894,1.0910884212639371,0.06414470000792358,0.3952030680947385,8.343050641528631
base,5.0,28,0.5576225822525365,1.2239711114338465,0.08759469618754727,0.4851605296134949,6.602753647736141
hybrid_no_harm,0.5,13,0.4727965547488286,0.9264616347276248,0.00990785715671686,0.13396870344877243,18.437758299020622
hybrid_no_harm,1.0,36,0.5339693480895625,1.0227670686112509,0.019956818691247866,0.19708917207188076,14.479183832804361
hybrid_no_harm,2.0,49,0.6014623982565743,1.1234966273210487,0.040230827234989525,0.2900665373522408,10.944616882168518
hybrid_no_harm,3.0,55,0.5950099809603258,1.0978190888058055,0.0597406443208456,0.3472821067680012,9.379009420221502
hybrid_no_harm,4.0,59,0.5063869715747187,0.9953279454829329,0.06638685399192874,0.3604730049432334,9.032120842044636
hybrid_no_harm,5.0,28,0.5459774780486312,1.081494974238532,0.08586096470909459,0.42882717826536726,7.5250654220581055
hybrid_with_harm,0.5,13,0.32611081634576505,0.6884018182754517,0.006849223223980516,0.09952189443776241,21.215102709256687
hybrid_with_harm,1.0,36,0.3710380411810345,0.7855203532510333,0.013938779425289895,0.15175077650282118,16.85931346151564
hybrid_with_harm,2.0,49,0.44580614277902914,0.9214696996674245,0.029921774837967693,0.2380559744731504,12.717338464698013
hybrid_with_harm,3.0,55,0.5028349567543376,1.0020599094304172,0.05047487213530324,0.31697878620841285,10.180740157040683
hybrid_with_harm,4.0,59,0.4551098412376339,0.9519316119662786,0.05966134887125533,0.3447328078544746,9.428139015779657
hybrid_with_harm,5.0,28,0.5034497225923198,1.0402043163776398,0.07916869462600776,0.41243875133139746,7.885169914790562
hybrid_fullgap_only,0.5,13,0.3210564846029648,0.6770804123236582,0.006736249797261105,0.09783874466442145,21.24105453491211
hybrid_fullgap_only,1.0,36,0.36762532881564564,0.7738043889403343,0.013821748719136748,0.14956069282359546,17.00081581539578
hybrid_fullgap_only,2.0,49,0.44110633706559943,0.9072841235569545,0.029604405307268003,0.23438266505088126,12.848660936160963
hybrid_fullgap_only,3.0,55,0.49719080979173835,0.99147217056968,0.049905744127251885,0.31362211297858844,10.27581632787531
hybrid_fullgap_only,4.0,59,0.44979264170436534,0.9416734960119603,0.058970635788420496,0.34103197111921796,9.527371939966233
hybrid_fullgap_only,5.0,28,0.49978506937623024,1.0347807109355927,0.07858420735491174,0.4102598237139838,7.940362930297852
hybrid_boundary_aware,0.5,13,0.3278054391535429,0.6922872696931546,0.006886132630125548,0.10009088997657482,21.192036995520958
hybrid_boundary_aware,1.0,36,0.37233389624290997,0.7893161839909024,0.013983825247527825,0.15246253336469331,16.815398454666138
hybrid_boundary_aware,2.0,49,0.4474610266636829,0.9268327528724865,0.030032674230787218,0.2394408871780853,12.667572040947116
hybrid_boundary_aware,3.0,55,0.5039124553853815,1.0051390767097472,0.050581361319531094,0.31794955351135945,10.154384231567382
hybrid_boundary_aware,4.0,59,0.45571173651743746,0.9539929365707656,0.05974013825594369,0.3454783902329914,9.409877938739324
hybrid_boundary_aware,5.0,28,0.5041670059519154,1.0420870163611002,0.07928156706371478,0.41318662464618683,7.870210341044834
