,gap_seconds,n_samples,gap_mae,gap_rmse,full_mae,full_rmse,full_psnr
0,0.5,23,0.3256925357424695,0.682993084192276,0.005963366488804636,0.09249122683768687,21.090354421864387
1,0.75,35,0.3086925023368427,0.6761163422039577,0.007799364114180207,0.10731212762849672,19.940735898699078
2,1.0,60,0.4119044914841652,0.7922590360045433,0.014754413235156487,0.14979459283252558,16.76885857582092
3,1.5,67,0.39236538790499986,0.8090510933256861,0.018724176643499686,0.17666129801255553,15.291942681839217
4,1.75,36,0.39141862839460373,0.766511894762516,0.0229185845495926,0.18547813201116192,15.155657317903307
5,2.0,19,0.40653276443481445,0.8169669210910797,0.026249417446945842,0.20755374823745928,14.100984623557643
