gap_seconds,n_samples,gap_mae,gap_rmse,full_mae,full_rmse,full_psnr
0.5,23,0.31236849336520484,0.6740419398183408,0.005717241043305915,0.09128089735041493,21.21581102454144
0.75,35,0.301352881533759,0.6757850451128823,0.007616085888418768,0.10726426552448953,20.009706606183734
1.0,60,0.40111413051684697,0.7868073210120201,0.014377723750658333,0.14882324921588103,16.80884796778361
1.5,67,0.39091260809062134,0.812841318436523,0.018654973864722164,0.17748148339008218,15.27504122435157
1.75,36,0.39583150918285054,0.7833275157544348,0.023174851874096528,0.18953043926093313,14.984128475189209
2.0,19,0.40629646417341736,0.814724956688128,0.02623427526927308,0.20698729667224383,14.124682878193102
