epoch,lr,train_loss,train_gap_loss,train_context_loss,train_grad_loss,train_gap_mae,train_gap_rmse,train_full_mae,train_full_rmse,train_psnr,val_loss,val_gap_loss,val_context_loss,val_grad_loss,val_gap_mae,val_gap_rmse,val_full_mae,val_full_rmse,val_psnr
1,0.001,0.3723918650150299,0.3723918650150299,0.0,0.0,0.4129435600280762,0.8610467940330505,0.03776132365763187,0.25983362345695493,11.79860707244873,0.3700427758315253,0.3700427758315253,0.0,0.0,0.41280430815522634,0.8624529128982907,0.038019643120822455,0.26098397989121697,11.74494843255906
2,0.001,0.34558538210392,0.34558538210392,0.0,0.0,0.3894911420106888,0.8192296738624573,0.0355527477234602,0.24706946802139282,12.207467391967773,0.35760998465712107,0.35760998465712107,0.0,0.0,0.40159956874355435,0.8465561772149707,0.036991868079418226,0.25614937690515366,11.90618958548894
3,0.001,0.33940383150577547,0.33940383150577547,0.0,0.0,0.3839662830591202,0.8099007886886597,0.03505837144255638,0.2443380842924118,12.298669395446778,0.3560329590524946,0.3560329590524946,0.0,0.0,0.4022802173618286,0.8407505561435034,0.03707340359687805,0.2545079697692205,11.97191308036683
4,0.001,0.33627181437015535,0.33627181437015535,0.0,0.0,0.381166210436821,0.8044923989295959,0.03481812320351601,0.24271903607845308,12.360766256713868,0.35162537178349873,0.35162537178349873,0.0,0.0,0.40050354765521157,0.8210530470287989,0.03690947335036028,0.24849290412569802,12.173314806014773
5,0.001,0.33383755671978,0.33383755671978,0.0,0.0,0.37879236690998075,0.8011369417190551,0.03462423605024815,0.24170262699127198,12.40084356994629,0.3494854207549776,0.3494854207549776,0.0,0.0,0.39593905588937184,0.8270622293154398,0.036484534364371074,0.2503140859660648,12.111789536854577
6,0.001,0.332475222158432,0.332475222158432,0.0,0.0,0.37759870164394377,0.7989525650024414,0.034490624341368674,0.2410583271741867,12.422203654479981,0.3504246861215622,0.3504246861215622,0.0,0.0,0.3963887705689385,0.8328070318888104,0.03653086887465583,0.2520644257939051,12.05390801505437
7,0.001,0.3311186848163605,0.3311186848163605,0.0,0.0,0.3760962078809738,0.7965355505943298,0.03435082973390818,0.24028605518341065,12.448991409301758,0.3533926596717229,0.3533926596717229,0.0,0.0,0.3956845963285083,0.8483923465486557,0.03648605528804991,0.2568558776189411,11.895212536766415
8,0.0005,0.3268775994300842,0.3268775994300842,0.0,0.0,0.37169216661453247,0.7893755507469177,0.033964223197102544,0.2381696644306183,12.529533920288086,0.3451366474231084,0.3451366474231084,0.0,0.0,0.391037085936183,0.819905750335209,0.036047126565660746,0.24819022393415843,12.189133583553254
9,0.0005,0.3252390518903732,0.3252390518903732,0.0,0.0,0.36954514479637146,0.7859459511756897,0.033748152527213096,0.23710147261619569,12.563825033569335,0.3451760309556174,0.3451760309556174,0.0,0.0,0.3896004522130603,0.8232124059919327,0.03591451013372058,0.2491774975307404,12.153505098252069
10,0.0005,0.3234462455511093,0.3234462455511093,0.0,0.0,0.3673012585401535,0.7827241448402404,0.033570835316181186,0.23618655304908753,12.596966496276856,0.34354307916429305,0.34354307916429305,0.0,0.0,0.3896696338104823,0.8120663251195636,0.03592046004320894,0.2458216394223864,12.2725281185574
11,0.0005,0.3218896687507629,0.3218896687507629,0.0,0.0,0.3654498073577881,0.7791926554679871,0.03339766950905323,0.23512712664604188,12.640642707824707,0.3424404854812319,0.3424404854812319,0.0,0.0,0.38871522271443926,0.8093334540488228,0.035833027657298816,0.2449876070022583,12.30113126361181
12,0.0005,0.3207956432342529,0.3207956432342529,0.0,0.0,0.36419303350448606,0.7774400106430054,0.033260475139319894,0.2345719174146652,12.65833002319336,0.34211411599128966,0.34211411599128966,0.0,0.0,0.38733078066318755,0.810161258493151,0.03571325253754381,0.2452367383336264,12.290335564386277
13,0.0005,0.3191583862066269,0.3191583862066269,0.0,0.0,0.3623604197740555,0.7745184753417969,0.03315990340858698,0.23378290202617646,12.692933541870117,0.3427183765267569,0.3427183765267569,0.0,0.0,0.38549763579217217,0.8185592511343578,0.03554668457853415,0.24779123375340115,12.202522383795845
14,0.0005,0.3183031127691269,0.3183031127691269,0.0,0.0,0.3614838169336319,0.77314072265625,0.03303437940329313,0.23327606959342956,12.706556950378419,0.34308601300867775,0.34308601300867775,0.0,0.0,0.38712564583808656,0.8172465345216176,0.03569347979057403,0.2473879721429613,12.216358956836519
15,0.00025,0.31500898389816284,0.31500898389816284,0.0,0.0,0.35841331429481504,0.7679298132896424,0.03273785132467747,0.231667719578743,12.765572663879395,0.3416854975715516,0.3416854975715516,0.0,0.0,0.3881429218583637,0.8034859176666017,0.03579014040056675,0.24324089950985378,12.36157785143171
16,0.00025,0.31374562287330626,0.31374562287330626,0.0,0.0,0.3572905310869217,0.7657605611801147,0.03262124371230602,0.23102649087905883,12.786648609924317,0.34172040318685865,0.34172040318685865,0.0,0.0,0.3866297562444021,0.8098323799314953,0.03565561387037474,0.2451419234275818,12.29290150839185
17,0.00025,0.3124157948732376,0.3124157948732376,0.0,0.0,0.35587500987052917,0.7632380020618439,0.032524280133843425,0.2303079380273819,12.819645629882812,0.34138360028229064,0.34138360028229064,0.0,0.0,0.38374888755026315,0.8178784875642686,0.03538494087046101,0.2475766440232595,12.208294278099423
18,0.00025,0.31128283021450043,0.31128283021450043,0.0,0.0,0.3547678176164627,0.7615453884601593,0.03242062401175499,0.22974838848114013,12.839412307739257,0.3418173894049629,0.3418173894049629,0.0,0.0,0.38679975555056617,0.809422220502581,0.03567831954430966,0.24504693987823667,12.298340434119815
19,0.000125,0.30821399726867676,0.30821399726867676,0.0,0.0,0.35207587304115295,0.7562283126831054,0.03216613953411579,0.2281654207468033,12.899851181030273,0.34117424251541256,0.34117424251541256,0.0,0.0,0.384472593665123,0.8147981602048117,0.03545948460934654,0.2466745466466934,12.241629312908838
20,0.000125,0.30673068516254426,0.30673068516254426,0.0,0.0,0.35064637916088104,0.7539443512916565,0.03205338637679815,0.22749333693981172,12.927752742004394,0.34298426409562427,0.34298426409562427,0.0,0.0,0.38851097368058707,0.8089931834311712,0.03583521023392677,0.2449114720026652,12.301365716116768
21,0.000125,0.3057744958162308,0.3057744958162308,0.0,0.0,0.34985337216854095,0.7523012189865113,0.03197387414872646,0.22699971885681153,12.943287678527833,0.34302269892087056,0.34302269892087056,0.0,0.0,0.38666366561064647,0.8174165988725329,0.03566419965927563,0.24746495911053248,12.213660951644655
