epoch,lr,train_loss,train_noise_loss,train_latent_loss,val_loss,val_noise_loss,val_latent_loss
1,1.0800000000000002e-05,1.2079756979744274,0.5024821256486752,14.109871363297056,0.5608503436669707,0.2941155033186078,5.334696837700903
2,2.0600000000000003e-05,0.5460089160421024,0.2017141469894126,6.885895218997717,0.3343327441252768,0.1548573803156614,3.589507199358195
3,3.0400000000000004e-05,0.3591960984677933,0.126369838849805,4.656525061629451,0.4866156135685742,0.1088246561121195,7.555819092318416
4,4.02e-05,0.3481799166042584,0.097007033543084,5.02345750088128,0.3280697595328092,0.0879010709468275,4.80337362550199
5,5e-05,0.3254217218857603,0.0784626694294972,4.939180977904377,0.3715461518149823,0.0727151051396504,5.976620904169977
6,5e-05,0.2221551209497756,0.0673523649049643,3.096055070337015,0.0960813446436077,0.0617472029989585,0.6866828268393874
7,5e-05,0.1784703777478145,0.0584783925892065,2.3998396475665484,0.2209120674524456,0.053576364996843,3.346713867969811
8,5e-05,0.1734917849873582,0.0527545782966545,2.4147441183416225,0.0812936024740338,0.0499586294172331,0.626699454151094
9,5e-05,0.2237578963462156,0.048347517830162,3.5082075337822825,0.415916153229773,0.0490196830360218,7.337929381988943
10,5e-05,0.1708607842889837,0.0457856726115599,2.50150215682892,0.1370264631696045,0.0453207023674622,1.834115216508508
11,5e-05,0.1817304457957371,0.0441196796398002,2.752215243090456,0.0715714752441272,0.043634578178171,0.5587379336357117
12,5e-05,0.1461631018704118,0.0421183699319442,2.0808946199881766,0.0778251965530216,0.0408574237953871,0.7393554542213678
13,5e-05,0.1436136702712351,0.0406195266892353,2.0598828112736296,0.1591838367749005,0.0396325250621885,2.3910261914134026
14,5e-05,0.146976683979122,0.0395262985469434,2.1490076726998764,0.1530744950287044,0.0386517460574395,2.288454950787127
15,5e-05,0.1573841027296579,0.0386445541886951,2.3747909035736,0.1330819325521588,0.0378233033698052,1.905172618106008
16,5e-05,0.1283080190562973,0.0380725747825333,1.8047088494125647,0.0684958128258585,0.0420399112044833,0.5291180200874805
17,5e-05,0.115440505000349,0.0369934460249381,1.56894115137216,0.0615719149354845,0.0362190507003106,0.5070572663098574
18,5e-05,0.0983449486664499,0.036057054520415,1.2457578492621644,0.0598596183117479,0.0338720724685117,0.5197509056888521
19,5e-05,0.1319061793363132,0.0357390818492577,1.923341875354322,0.0611462525557726,0.0347746137995272,0.5274327723309398
20,5e-05,0.1285004764200209,0.0349878028880197,1.870253421247196,0.0577812750125303,0.0336075833183713,0.4834738150238991
21,5e-05,0.1520325779295958,0.0345948742696652,2.348754019306872,0.2194626352284103,0.0339717193855904,3.7098183752968903
22,5e-05,0.1502890231462713,0.0341996600250371,2.3217872499277035,0.0564209255389869,0.033530059736222,0.457817311398685
23,5e-05,0.1007632236606396,0.0336290645582702,1.3426831762630718,0.0558354309760034,0.0340387506294064,0.4359335964545607
24,5e-05,0.100481932500776,0.0329637407137753,1.3503637880372543,0.054142890847288,0.0328615149483084,0.4256275189109146
25,5e-05,0.090483307933655,0.033253588192998,1.1445943646061534,0.2123003769665956,0.0335280541912652,3.5754463588818908
26,5e-05,0.1040713868963832,0.0328729348227429,1.4239690382354937,0.0572989857755601,0.0327867421437986,0.490244866348803
27,5e-05,0.1184352930194844,0.0330062160095848,1.708581459836457,0.053687788080424,0.0328191175940446,0.4173734011128545
28,5e-05,0.1411244771041618,0.0321601889848994,2.1792857302263524,0.0526532640215009,0.0311360590276308,0.4303440945222974
29,5e-05,0.0947770699620627,0.0316201093645331,1.263139162010278,0.0510501057142391,0.0312328276340849,0.3963455483317375
30,5e-05,0.1184701743407752,0.0309023410200882,1.7513566423243228,0.0797974440502002,0.0312753994367085,0.9704408757388592
31,5e-05,0.1259820826423054,0.0311019917587026,1.8976017554251912,0.1027093502925708,0.034494508174248,1.3642967911437154
32,2.5e-05,0.1023169956601465,0.0307230557532261,1.4318787674077402,0.1008430051151663,0.0320435532485134,1.3759889844805002
33,2.5e-05,0.0879107142765872,0.0294079830090458,1.1700546155436733,0.0510171500500291,0.0315297752385959,0.3897474929690361
34,2.5e-05,0.1037626962382762,0.0296601435354056,1.4820510098538078,0.1337925232946872,0.0303070876398123,2.0697086229920387
35,2.5e-05,0.1018088571846294,0.0295090681156173,1.4459957621348931,0.0982290847459808,0.0300546992220915,1.363487700931728
36,2.5e-05,0.0735250482686792,0.0293876154723163,0.882748650238156,0.1448636563727632,0.0300632048165425,2.296009035781026
37,2.5e-05,0.0925328084907402,0.0289645817952034,1.2713645167720204,0.0501401523360982,0.028229743707925,0.4382081599906087
38,2.5e-05,0.0998001237170764,0.0285148532829059,1.425705382046989,0.0502544625196605,0.0302085419534705,0.4009183989837765
39,2.5e-05,0.1015026048063851,0.0291331541626312,1.4473889788594871,0.1325009017018601,0.0301113579771481,2.047790768556297
40,2.5e-05,0.0882294529471725,0.029006701807815807,1.1844549957936563,0.12349179584998637,0.030862014333251864,1.8525955881923437
41,2.5e-05,0.07800175744695023,0.02825498767197132,0.994935388858326,0.11644261691253632,0.030379232368431985,1.7212676270864904
42,2.5e-05,0.0814405296104975,0.02865989100390349,1.055612752422357,0.11726013792213053,0.029891916317865252,1.7473643142729998
43,2.5e-05,0.12603178106176968,0.028707695395920795,1.9464816758617425,0.05240694305393845,0.031233762798365206,0.4234636062756181
44,2.5e-05,0.08012994696585515,0.028420449802860286,1.0341899187420123,0.04956087691243738,0.02908473345451057,0.4095228612422943
45,2.5e-05,0.09470722088798547,0.02803418070625383,1.3334607882335925,0.07244306872598827,0.030999754439108074,0.8288662629202008
