epoch,lr,train_loss,train_noise_loss,train_latent_loss,train_retrieval_strength_mean,train_fusion_weight_entropy,val_loss,val_noise_loss,val_latent_loss,val_retrieval_strength_mean,val_fusion_weight_entropy
1,5e-05,0.7559346808031344,0.3958887308835983,18.00229806545824,0.4743380789368297,1.094736552847841,0.3799252645112574,0.2104415749199688,8.474184488877654,0.4785394165664911,1.0985747538506985
2,5e-05,0.5853794009540789,0.1897038390842108,19.78377856071384,0.4788829986089334,1.094785114446768,0.2271216488443315,0.137051371159032,4.503514247015119,0.4716991409659385,1.098583851009607
3,5e-05,0.5070134740287122,0.1411168804517188,18.294830183061165,0.4732757751553203,1.0947877058205897,0.1279262006282806,0.1075891684740781,1.016851594671607,0.4785564206540584,1.0985868275165558
4,5e-05,0.472855624061423,0.1178935022114184,17.74810641537459,0.4765261711594395,1.0947887649932229,0.1086679401341825,0.0912357089109718,0.8716115914285183,0.469586887396872,1.0985756367444992
5,5e-05,0.2098041570510346,0.1046056394188548,5.259925954258099,0.4742994981642348,1.0947639549883028,0.0982213830575347,0.0797728814650327,0.922425102442503,0.4481167625635862,1.0985448099672794
6,5e-05,0.4197414977529559,0.0973248234429298,16.12083414025581,0.4739404786318635,1.0947677331229748,0.0930330659030005,0.0713963956804946,1.0818335292860866,0.4915829543024301,1.0985560417175293
7,5e-05,0.3244352619916486,0.0908327556599062,11.680125781522392,0.4689173078575073,1.0947201457648232,0.148389964015223,0.0656019084854051,4.139402952045202,0.4624764639884233,1.098451342433691
8,5e-05,0.4159675323948883,0.0846223443175276,16.567259730146336,0.4731670316225423,1.0947244510102196,0.2118223700672388,0.0632412049453705,7.429058502428234,0.4824849488213658,1.0985337644815445
9,5e-05,0.3134517797146933,0.0820150983671601,11.571834272660386,0.4752696683993355,1.094737361414364,0.1341933761723339,0.0610531071433797,3.657013445161283,0.483433211222291,1.0984563827514648
10,5e-05,0.4768992781091612,0.080647934942295,19.812567437799597,0.479081926635279,1.0946705387042353,0.0768997841514647,0.0588944224873557,0.9002681449055672,0.4909378439188003,1.0984283536672592
11,5e-05,0.2848638275656076,0.0763836714406363,10.4240079624013,0.4745744855259173,1.094620222481676,0.0716646836372092,0.0557753850007429,0.7944649495184422,0.4633844336494803,1.0983309671282768
12,5e-05,0.3121485920807424,0.0743362562248882,11.89061691005009,0.4756646385779396,1.094549313520852,0.073964684153907,0.0529739597113803,1.0495362458750606,0.4649141626432538,1.098334863781929
13,5e-05,0.2714859409906422,0.0715887361703018,9.994860345848831,0.4787073463868028,1.0945856902546014,0.070807428099215,0.05312227725517,0.8842575708404183,0.4538854546844959,1.098324939608574
14,5e-05,0.3410335533654156,0.0716487546198474,13.469240362651814,0.4772590261678726,1.0945908867132168,0.0977471082005649,0.0517274826997891,2.300981347449124,0.4775736043229699,1.09824800491333
15,5e-05,0.2509695043007787,0.070486642824956,9.024143272409804,0.475249566209202,1.0943237866837376,0.1479979180730879,0.0508272751467302,4.858532297424972,0.4805055605247617,1.0978497341275215
16,5e-05,0.3290256755991865,0.0698498777878551,12.958790190684528,0.475675978790076,1.0939629611115866,0.0620508352294564,0.0483274307334795,0.6861702334135771,0.4733839631080627,1.0975275374948978
17,5e-05,0.2429181094201037,0.0684071622860317,8.725547458512334,0.4774564095198537,1.093729895143844,0.0671800926793366,0.0523274679435417,0.7426312323659658,0.4640658050775528,1.0970527417957785
18,5e-05,0.299867912127187,0.0670034657128321,11.643222660683216,0.4813243791508598,1.093285355705042,0.1741594250197522,0.0466541448840871,6.375264277216047,0.4703177623450756,1.0966753661632538
19,5e-05,0.2451923433393716,0.0686226124747302,8.828486441232906,0.4741821582324969,1.093298793600771,0.1135881301015615,0.0472046690993011,3.3191730733960867,0.4677154598757624,1.0968749150633812
20,5e-05,0.2621352522018047,0.0655511393428991,9.829205783601768,0.4766928699260321,1.0932870920473776,0.0636528026079759,0.0482794399140402,0.7686681607738137,0.4711767742410302,1.0964557379484177
21,5e-05,0.2667788270111091,0.0645165690265524,10.11311345530775,0.4766534208870543,1.0922013928715033,0.0642871976597234,0.0494688919279724,0.740915322676301,0.4715144215151667,1.095169723033905
22,5e-05,0.3119200553994971,0.0666301604895927,12.264495031426128,0.474670211061502,1.0923599884532893,0.060645151650533,0.0455463626421988,0.7549394834786654,0.4731607511639595,1.095893807709217
23,5e-05,0.2148828262004989,0.0641315688078586,7.537563210954301,0.4740549566837164,1.0924247941270042,0.0630974273663014,0.0466090956469997,0.8244166225194931,0.477115779183805,1.095930889248848
24,5e-05,0.3616614630951668,0.0645351761969895,14.856314872305234,0.4738925300276698,1.0925344967613586,0.0934820828260853,0.0455089543247595,2.398656486533582,0.4572062063962221,1.0959564372897148
25,5e-05,0.2585071147011872,0.0637917943275012,9.735766359125844,0.4730149846488294,1.092614176555183,0.0966847195522859,0.0471174665726721,2.478362804278732,0.4861035980284214,1.0962563827633858
26,5e-05,0.2138596695785324,0.0632114646712335,7.532410158231236,0.4783587781385111,1.0925981849908066,0.1116437484743073,0.0433438026811927,3.414997332729399,0.4757580859586596,1.0959759429097176
27,5e-05,0.397299747473706,0.0625348636707939,16.738244737489534,0.4793626562284585,1.0925199878863252,0.0583615876967087,0.0426355006056837,0.7863043621182442,0.4722125502303242,1.095650538802147
28,5e-05,0.3179496719171635,0.0625616725617513,12.769400363817764,0.4767423492079726,1.0920175858579886,0.0571998556843027,0.0464040240040048,0.539791596122086,0.4783515818417072,1.0946912951767445
