epoch,lr,context_weight,train_loss,train_gap_loss,train_context_loss,train_grad_loss,train_gap_mae,train_gap_rmse,train_full_mae,train_full_rmse,train_psnr,val_loss,val_gap_loss,val_context_loss,val_grad_loss,val_gap_mae,val_gap_rmse,val_full_mae,val_full_rmse,val_psnr
1,0.0005,0.12,0.37541896930933,0.361236977815628,0.11818325790166855,0.0,0.4010918433070183,0.8369269666910172,0.15961571211218833,0.3706405974388123,8.996931465864181,0.362881297826767,0.35478839671611784,0.06744084796309471,0.0,0.40010999715328216,0.822792299747467,0.1095783759355545,0.294148810505867,10.736868434906006
2,0.0005,0.11842995376392018,0.343865287733078,0.3371188041090965,0.05696602679342031,0.0,0.37953840111494064,0.7999044367074967,0.0970770815730095,0.2804905544400215,11.132592013931275,0.3581920646429062,0.3509857658147812,0.06084864543378353,0.0,0.3977532606124878,0.8117773416042328,0.09995871976017952,0.28314409363269805,11.127009292602539
3,0.0005,0.1168804495710356,0.33857035813331604,0.33309392726421355,0.046854972168803216,0.0,0.3758355379104614,0.7946236700057984,0.08603218914270401,0.2681566087603569,11.525615379714965,0.35817561984062196,0.3497305388450623,0.07225401370227337,0.0,0.3915011571645737,0.826546231508255,0.107130273103714,0.29924032747745516,10.647171482086181
4,0.0005,0.11535121865503294,0.33495468438863757,0.3301786411166191,0.041404355362057686,0.0,0.37303517563343047,0.7907595331668854,0.07987413615584374,0.2616077390551567,11.74430909690857,0.35037631273269654,0.34635126185417175,0.03489386169612408,0.0,0.3938765194416046,0.8036343183517456,0.07659705007076263,0.25984881341457366,11.853373512268066
5,0.0005,0.11384199576606165,0.33380479270219804,0.3294280823469162,0.03844548250585794,0.0,0.37226101014614105,0.7889220366716385,0.07649231490194798,0.25809599506855013,11.864841669464111,0.34645860457420347,0.3428970837593079,0.03128478872776032,0.0,0.38863889467716217,0.8074970915317535,0.07247759222984314,0.2586133050918579,11.898226219177246
6,0.0005,0.11235251912472566,0.3320763946056366,0.3279679116010666,0.036567779180407524,0.0,0.3709284528017044,0.7865569144248963,0.07418767965435982,0.2556865824699402,11.95319310913086,0.34595287346839904,0.3425421537160873,0.030357308954000472,0.0,0.387761493563652,0.8078066170215606,0.07146765062212944,0.2575606464147568,11.939460983276367
7,0.00025,0.11088253037667682,0.33009125343561174,0.3263631499648094,0.03362210160344839,0.0,0.3692803756713867,0.784890511059761,0.07113852899372577,0.2528119985461235,12.048148495483398,0.34492062318325045,0.34172985899448394,0.028776081651449202,0.0,0.3878344434499741,0.80428196144104,0.06933252462744713,0.25521680319309237,12.016726509094239
8,0.00025,0.10943177454780259,0.32535135280489924,0.32249980897307395,0.026057729214429854,0.0,0.3656969598412514,0.779096390914917,0.0645016799390316,0.24655199695825578,12.276351435089111,0.3433468642234802,0.3405450005531311,0.025603745318949222,0.0,0.3873045225143433,0.800982825756073,0.06618018946051597,0.25276552426815035,12.102885795593261
9,0.00025,0.108,0.32461868816614153,0.3218136156082153,0.025972895057499407,0.0,0.3650447809934616,0.7783550664663315,0.06399891672283411,0.24597693635225296,12.294828372192383,0.34383061170578005,0.33991327965259555,0.03627160154283047,0.0,0.38453356802463534,0.8083279104232788,0.07315469282865525,0.2601591906547546,11.837485603332519
10,0.00025,0.10658695838752817,0.3234466418147087,0.3207684157013893,0.02512715358361602,0.0,0.3640276470065117,0.7767809660434722,0.06300872637033463,0.2449174770116806,12.330922592926026,0.34258137464523314,0.34004435515403747,0.023802334390580653,0.0,0.384486138343811,0.806425632238388,0.06431356605887413,0.25323392713069914,12.090067413330079
11,0.00025,0.10519240461393205,0.3224782519221306,0.3199254201054573,0.02426821377798915,0.0,0.3632320186853409,0.7753137667417527,0.062098083819448945,0.24394670647382735,12.362321028137208,0.34161816382408144,0.3393123379945755,0.021920067086815834,0.0,0.3852818601131439,0.7995661561489105,0.0631858545690775,0.2503778221011162,12.193920684814453
12,0.00025,0.10381609678952963,0.32043456606268883,0.3180366545379162,0.023097677425295116,0.0,0.3612150560379028,0.7725390077590942,0.060956702940165995,0.2424978671193123,12.421805062103271,0.34193126106262206,0.3396076444387436,0.022382052011787893,0.0,0.38487018644809723,0.8018173637390137,0.06291494540870189,0.2511571437716484,12.173138999938965
13,0.00025,0.10245779618945548,0.31965257318615914,0.31730933109521864,0.022870311465114354,0.0,0.3605940577507019,0.7713709489822388,0.060478211550414565,0.2417210555970669,12.442732333755494,0.34316784811019896,0.34085652232170105,0.02255881757289171,0.0,0.38639684808254243,0.8044557235240937,0.06295219370722771,0.2514292075037956,12.158859039306641
14,0.000125,0.1011172672122531,0.31785917868614194,0.31551381329298017,0.02319450564533472,0.0,0.3587447477698326,0.7683316355705261,0.06051839326918125,0.24107525027990342,12.464578199768066,0.34089722323417665,0.3386940470933914,0.02178834554553032,0.0,0.3833760641813278,0.8022454895973206,0.06223463234305382,0.25113176774978635,12.166322265625
15,0.000125,0.09979427733900914,0.3128922981619835,0.3110330072402954,0.018631239622831343,0.0,0.35465304720401764,0.7614575588464737,0.05671217393279076,0.23705622427463532,12.616388971710204,0.34116818046569825,0.3393232356309891,0.01848749492317438,0.0,0.38352778816223143,0.804633181810379,0.05980102075636387,0.2503641927242279,12.200591361999512
16,0.000125,0.09848859709302234,0.31097533468008043,0.3091743511259556,0.018286211985349656,0.0,0.3529161895275116,0.7578464943408966,0.05617919728010893,0.23577518230080605,12.66683572921753,0.3415855404138565,0.33985600745677946,0.017560727953910827,0.0,0.38337496542930605,0.8077945966720581,0.059161379858851434,0.2509455828070641,12.181811447143554
17,6.25e-05,0.09720000000000001,0.30870328713059425,0.30691153246760366,0.018433691289275883,0.0,0.3507305364251137,0.7540466949224472,0.05601335832476616,0.23471257115006447,12.706960218811036,0.3454487980604172,0.34193835043907167,0.03611570574343204,0.0,0.38422568237781524,0.8126551871299743,0.07249089279770851,0.26065530204772946,11.833459259033203
